Dates,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,Prices
08-31-2021,1.06E+01,9.88E+00,1.02E+01,1.06E+01,1.06E+01,-5.53E-01,-5.53E-01,-5.53E-01,-5.53E-01,-5.53E-01,-5.53E-01,0.00E+00,0.00E+00,0.00E+00,1.01E+01
09-30-2021,1.07E+01,1.01E+01,1.04E+01,1.07E+01,1.07E+01,-3.78E-01,-3.78E-01,-3.78E-01,-3.78E-01,-3.78E-01,-3.78E-01,0.00E+00,0.00E+00,0.00E+00,1.03E+01
10-31-2021,1.07E+01,1.03E+01,1.06E+01,1.07E+01,1.07E+01,-2.45E-01,-2.45E-01,-2.45E-01,-2.45E-01,-2.45E-01,-2.45E-01,0.00E+00,0.00E+00,0.00E+00,1.05E+01
11-30-2021,1.07E+01,1.08E+01,1.12E+01,1.07E+01,1.07E+01,2.82E-01,2.82E-01,2.82E-01,2.82E-01,2.82E-01,2.82E-01,0.00E+00,0.00E+00,0.00E+00,1.10E+01
12-31-2021,1.08E+01,1.12E+01,1.16E+01,1.08E+01,1.08E+01,6.34E-01,6.34E-01,6.34E-01,6.34E-01,6.34E-01,6.34E-01,0.00E+00,0.00E+00,0.00E+00,1.14E+01
01-31-2022,1.08E+01,1.13E+01,1.17E+01,1.08E+01,1.08E+01,6.54E-01,6.54E-01,6.54E-01,6.54E-01,6.54E-01,6.54E-01,0.00E+00,0.00E+00,0.00E+00,1.15E+01
02-28-2022,1.09E+01,1.12E+01,1.16E+01,1.09E+01,1.09E+01,5.45E-01,5.45E-01,5.45E-01,5.45E-01,5.45E-01,5.45E-01,0.00E+00,0.00E+00,0.00E+00,1.14E+01
03-31-2022,1.09E+01,1.13E+01,1.17E+01,1.09E+01,1.09E+01,5.61E-01,5.61E-01,5.61E-01,5.61E-01,5.61E-01,5.61E-01,0.00E+00,0.00E+00,0.00E+00,1.15E+01
04-30-2022,1.10E+01,1.07E+01,1.11E+01,1.10E+01,1.10E+01,-8.45E-02,-8.45E-02,-8.45E-02,-8.45E-02,-8.45E-02,-8.45E-02,0.00E+00,0.00E+00,0.00E+00,1.09E+01
05-31-2022,1.10E+01,1.04E+01,1.08E+01,1.10E+01,1.10E+01,-4.34E-01,-4.34E-01,-4.34E-01,-4.34E-01,-4.34E-01,-4.34E-01,0.00E+00,0.00E+00,0.00E+00,1.06E+01
06-30-2022,1.10E+01,1.02E+01,1.06E+01,1.10E+01,1.10E+01,-6.53E-01,-6.53E-01,-6.53E-01,-6.53E-01,-6.53E-01,-6.53E-01,0.00E+00,0.00E+00,0.00E+00,1.04E+01
07-31-2022,1.11E+01,1.05E+01,1.08E+01,1.11E+01,1.11E+01,-4.46E-01,-4.46E-01,-4.46E-01,-4.46E-01,-4.46E-01,-4.46E-01,0.00E+00,0.00E+00,0.00E+00,1.06E+01
08-31-2022,1.11E+01,1.03E+01,1.07E+01,1.11E+01,1.11E+01,-6.20E-01,-6.20E-01,-6.20E-01,-6.20E-01,-6.20E-01,-6.20E-01,0.00E+00,0.00E+00,0.00E+00,1.05E+01
09-30-2022,1.12E+01,1.06E+01,1.10E+01,1.12E+01,1.12E+01,-3.81E-01,-3.81E-01,-3.81E-01,-3.81E-01,-3.81E-01,-3.81E-01,0.00E+00,0.00E+00,0.00E+00,1.08E+01
10-31-2022,1.12E+01,1.08E+01,1.12E+01,1.12E+01,1.12E+01,-2.37E-01,-2.37E-01,-2.37E-01,-2.37E-01,-2.37E-01,-2.37E-01,0.00E+00,0.00E+00,0.00E+00,1.10E+01
11-30-2022,1.13E+01,1.14E+01,1.17E+01,1.13E+01,1.13E+01,3.07E-01,3.07E-01,3.07E-01,3.07E-01,3.07E-01,3.07E-01,0.00E+00,0.00E+00,0.00E+00,1.16E+01
12-31-2022,1.13E+01,1.17E+01,1.21E+01,1.13E+01,1.13E+01,6.22E-01,6.22E-01,6.22E-01,6.22E-01,6.22E-01,6.22E-01,0.00E+00,0.00E+00,0.00E+00,1.19E+01
01-31-2023,1.14E+01,1.19E+01,1.22E+01,1.14E+01,1.14E+01,6.69E-01,6.69E-01,6.69E-01,6.69E-01,6.69E-01,6.69E-01,0.00E+00,0.00E+00,0.00E+00,1.20E+01
02-28-2023,1.14E+01,1.18E+01,1.21E+01,1.14E+01,1.14E+01,5.42E-01,5.42E-01,5.42E-01,5.42E-01,5.42E-01,5.42E-01,0.00E+00,0.00E+00,0.00E+00,1.20E+01
03-31-2023,1.15E+01,1.18E+01,1.22E+01,1.15E+01,1.15E+01,5.27E-01,5.27E-01,5.27E-01,5.27E-01,5.27E-01,5.27E-01,0.00E+00,0.00E+00,0.00E+00,1.20E+01
04-30-2023,1.15E+01,1.12E+01,1.16E+01,1.15E+01,1.15E+01,-1.21E-01,-1.21E-01,-1.21E-01,-1.21E-01,-1.21E-01,-1.21E-01,0.00E+00,0.00E+00,0.00E+00,1.14E+01
05-31-2023,1.16E+01,1.11E+01,1.15E+01,1.16E+01,1.16E+01,-3.08E-01,-3.08E-01,-3.08E-01,-3.08E-01,-3.08E-01,-3.08E-01,0.00E+00,0.00E+00,0.00E+00,1.13E+01
06-30-2023,1.16E+01,1.07E+01,1.11E+01,1.16E+01,1.16E+01,-7.13E-01,-7.13E-01,-7.13E-01,-7.13E-01,-7.13E-01,-7.13E-01,0.00E+00,0.00E+00,0.00E+00,1.09E+01
07-31-2023,1.17E+01,1.11E+01,1.15E+01,1.17E+01,1.17E+01,-4.03E-01,-4.03E-01,-4.03E-01,-4.03E-01,-4.03E-01,-4.03E-01,0.00E+00,0.00E+00,0.00E+00,1.13E+01
08-31-2023,1.18E+01,1.09E+01,1.12E+01,1.18E+01,1.18E+01,-6.88E-01,-6.88E-01,-6.88E-01,-6.88E-01,-6.88E-01,-6.88E-01,0.00E+00,0.00E+00,0.00E+00,1.11E+01
09-30-2023,1.18E+01,1.12E+01,1.16E+01,1.18E+01,1.18E+01,-3.83E-01,-3.83E-01,-3.83E-01,-3.83E-01,-3.83E-01,-3.83E-01,0.00E+00,0.00E+00,0.00E+00,1.14E+01
10-31-2023,1.19E+01,1.14E+01,1.18E+01,1.19E+01,1.19E+01,-2.28E-01,-2.28E-01,-2.28E-01,-2.28E-01,-2.28E-01,-2.28E-01,0.00E+00,0.00E+00,0.00E+00,1.16E+01
11-30-2023,1.19E+01,1.21E+01,1.24E+01,1.19E+01,1.19E+01,3.32E-01,3.32E-01,3.32E-01,3.32E-01,3.32E-01,3.32E-01,0.00E+00,0.00E+00,0.00E+00,1.22E+01
12-31-2023,1.19E+01,1.24E+01,1.27E+01,1.19E+01,1.19E+01,6.10E-01,6.10E-01,6.10E-01,6.10E-01,6.10E-01,6.10E-01,0.00E+00,0.00E+00,0.00E+00,1.25E+01
01-31-2024,1.19E+01,1.25E+01,1.28E+01,1.19E+01,1.19E+01,6.83E-01,6.83E-01,6.83E-01,6.83E-01,6.83E-01,6.83E-01,0.00E+00,0.00E+00,0.00E+00,1.26E+01
02-29-2024,1.20E+01,1.23E+01,1.27E+01,1.20E+01,1.20E+01,5.51E-01,5.51E-01,5.51E-01,5.51E-01,5.51E-01,5.51E-01,0.00E+00,0.00E+00,0.00E+00,1.25E+01
03-31-2024,1.20E+01,1.25E+01,1.28E+01,1.20E+01,1.20E+01,6.29E-01,6.29E-01,6.29E-01,6.29E-01,6.29E-01,6.29E-01,0.00E+00,0.00E+00,0.00E+00,1.26E+01
04-30-2024,1.20E+01,1.19E+01,1.22E+01,1.20E+01,1.20E+01,-4.92E-03,-4.92E-03,-4.92E-03,-4.92E-03,-4.92E-03,-4.92E-03,0.00E+00,0.00E+00,0.00E+00,1.20E+01
05-31-2024,1.21E+01,1.12E+01,1.16E+01,1.21E+01,1.21E+01,-6.87E-01,-6.87E-01,-6.87E-01,-6.87E-01,-6.87E-01,-6.87E-01,0.00E+00,0.00E+00,0.00E+00,1.14E+01
06-30-2024,1.21E+01,1.14E+01,1.17E+01,1.21E+01,1.21E+01,-5.38E-01,-5.38E-01,-5.38E-01,-5.38E-01,-5.38E-01,-5.38E-01,0.00E+00,0.00E+00,0.00E+00,1.16E+01
07-31-2024,1.21E+01,1.14E+01,1.18E+01,1.21E+01,1.21E+01,-5.34E-01,-5.34E-01,-5.34E-01,-5.34E-01,-5.34E-01,-5.34E-01,0.00E+00,0.00E+00,0.00E+00,1.16E+01
08-31-2024,1.22E+01,1.15E+01,1.18E+01,1.22E+01,1.22E+01,-4.87E-01,-4.87E-01,-4.87E-01,-4.87E-01,-4.87E-01,-4.87E-01,0.00E+00,0.00E+00,0.00E+00,1.17E+01
09-30-2024,1.22E+01,1.16E+01,1.20E+01,1.22E+01,1.22E+01,-3.74E-01,-3.74E-01,-3.74E-01,-3.74E-01,-3.74E-01,-3.74E-01,0.00E+00,0.00E+00,0.00E+00,1.18E+01
10-31-2024,1.22E+01,1.18E+01,1.21E+01,1.22E+01,1.22E+01,-2.52E-01,-2.52E-01,-2.52E-01,-2.52E-01,-2.52E-01,-2.52E-01,0.00E+00,0.00E+00,0.00E+00,1.20E+01
11-30-2024,1.22E+01,1.23E+01,1.27E+01,1.22E+01,1.22E+01,2.57E-01,2.57E-01,2.57E-01,2.57E-01,2.57E-01,2.57E-01,0.00E+00,0.00E+00,0.00E+00,1.25E+01
12-31-2024,1.23E+01,1.27E+01,1.31E+01,1.23E+01,1.23E+01,6.45E-01,6.45E-01,6.45E-01,6.45E-01,6.45E-01,6.45E-01,0.00E+00,0.00E+00,0.00E+00,1.29E+01
01-31-2025,1.23E+01,1.28E+01,1.31E+01,1.23E+01,1.23E+01,6.39E-01,6.39E-01,6.39E-01,6.39E-01,6.39E-01,6.39E-01,0.00E+00,0.00E+00,0.00E+00,1.29E+01
02-28-2025,1.23E+01,1.27E+01,1.31E+01,1.23E+01,1.23E+01,5.49E-01,5.49E-01,5.49E-01,5.49E-01,5.49E-01,5.49E-01,0.00E+00,0.00E+00,0.00E+00,1.29E+01
03-31-2025,1.24E+01,1.28E+01,1.31E+01,1.23E+01,1.24E+01,5.95E-01,5.95E-01,5.95E-01,5.95E-01,5.95E-01,5.95E-01,0.00E+00,0.00E+00,0.00E+00,1.30E+01
04-30-2025,1.24E+01,1.22E+01,1.25E+01,1.24E+01,1.24E+01,-4.58E-02,-4.58E-02,-4.58E-02,-4.58E-02,-4.58E-02,-4.58E-02,0.00E+00,0.00E+00,0.00E+00,1.23E+01
05-31-2025,1.24E+01,1.17E+01,1.20E+01,1.24E+01,1.24E+01,-5.61E-01,-5.61E-01,-5.61E-01,-5.61E-01,-5.61E-01,-5.61E-01,0.00E+00,0.00E+00,0.00E+00,1.19E+01
06-30-2025,1.24E+01,1.17E+01,1.20E+01,1.24E+01,1.25E+01,-5.95E-01,-5.95E-01,-5.95E-01,-5.95E-01,-5.95E-01,-5.95E-01,0.00E+00,0.00E+00,0.00E+00,1.18E+01
07-31-2025,1.25E+01,1.18E+01,1.22E+01,1.24E+01,1.25E+01,-4.90E-01,-4.90E-01,-4.90E-01,-4.90E-01,-4.90E-01,-4.90E-01,0.00E+00,0.00E+00,0.00E+00,1.20E+01
08-31-2025,1.25E+01,1.18E+01,1.21E+01,1.25E+01,1.25E+01,-5.53E-01,-5.53E-01,-5.53E-01,-5.53E-01,-5.53E-01,-5.53E-01,0.00E+00,0.00E+00,0.00E+00,1.19E+01
09-30-2025,1.25E+01,1.20E+01,1.23E+01,1.25E+01,1.26E+01,-3.78E-01,-3.78E-01,-3.78E-01,-3.78E-01,-3.78E-01,-3.78E-01,0.00E+00,0.00E+00,0.00E+00,1.22E+01
10-31-2025,1.26E+01,1.21E+01,1.25E+01,1.25E+01,1.26E+01,-2.45E-01,-2.45E-01,-2.45E-01,-2.45E-01,-2.45E-01,-2.45E-01,0.00E+00,0.00E+00,0.00E+00,1.23E+01
11-30-2025,1.26E+01,1.27E+01,1.31E+01,1.25E+01,1.26E+01,2.82E-01,2.82E-01,2.82E-01,2.82E-01,2.82E-01,2.82E-01,0.00E+00,0.00E+00,0.00E+00,1.29E+01
12-31-2025,1.26E+01,1.31E+01,1.34E+01,1.26E+01,1.27E+01,6.34E-01,6.34E-01,6.34E-01,6.34E-01,6.34E-01,6.34E-01,0.00E+00,0.00E+00,0.00E+00,1.33E+01
01-31-2026,1.26E+01,1.31E+01,1.35E+01,1.26E+01,1.27E+01,6.54E-01,6.54E-01,6.54E-01,6.54E-01,6.54E-01,6.54E-01,0.00E+00,0.00E+00,0.00E+00,1.33E+01
02-28-2026,1.27E+01,1.30E+01,1.34E+01,1.26E+01,1.28E+01,5.45E-01,5.45E-01,5.45E-01,5.45E-01,5.45E-01,5.45E-01,0.00E+00,0.00E+00,0.00E+00,1.32E+01
03-31-2026,1.27E+01,1.31E+01,1.35E+01,1.26E+01,1.28E+01,5.61E-01,5.61E-01,5.61E-01,5.61E-01,5.61E-01,5.61E-01,0.00E+00,0.00E+00,0.00E+00,1.33E+01
04-30-2026,1.27E+01,1.24E+01,1.29E+01,1.26E+01,1.28E+01,-8.45E-02,-8.45E-02,-8.45E-02,-8.45E-02,-8.45E-02,-8.45E-02,0.00E+00,0.00E+00,0.00E+00,1.26E+01
05-31-2026,1.28E+01,1.21E+01,1.25E+01,1.27E+01,1.29E+01,-4.34E-01,-4.34E-01,-4.34E-01,-4.34E-01,-4.34E-01,-4.34E-01,0.00E+00,0.00E+00,0.00E+00,1.23E+01
06-30-2026,1.28E+01,1.19E+01,1.24E+01,1.27E+01,1.29E+01,-6.53E-01,-6.53E-01,-6.53E-01,-6.53E-01,-6.53E-01,-6.53E-01,0.00E+00,0.00E+00,0.00E+00,1.21E+01
07-31-2026,1.28E+01,1.21E+01,1.26E+01,1.27E+01,1.29E+01,-4.46E-01,-4.46E-01,-4.46E-01,-4.46E-01,-4.46E-01,-4.46E-01,0.00E+00,0.00E+00,0.00E+00,1.24E+01
08-31-2026,1.29E+01,1.20E+01,1.24E+01,1.27E+01,1.30E+01,-6.20E-01,-6.20E-01,-6.20E-01,-6.20E-01,-6.20E-01,-6.20E-01,0.00E+00,0.00E+00,0.00E+00,1.22E+01
09-30-2026,1.29E+01,1.22E+01,1.27E+01,1.27E+01,1.30E+01,-3.81E-01,-3.81E-01,-3.81E-01,-3.81E-01,-3.81E-01,-3.81E-01,0.00E+00,0.00E+00,0.00E+00,1.25E+01
10-31-2026,1.29E+01,1.24E+01,1.29E+01,1.28E+01,1.30E+01,-2.37E-01,-2.37E-01,-2.37E-01,-2.37E-01,-2.37E-01,-2.37E-01,0.00E+00,0.00E+00,0.00E+00,1.27E+01
11-30-2026,1.29E+01,1.30E+01,1.35E+01,1.28E+01,1.31E+01,3.07E-01,3.07E-01,3.07E-01,3.07E-01,3.07E-01,3.07E-01,0.00E+00,0.00E+00,0.00E+00,1.32E+01
12-31-2026,1.30E+01,1.33E+01,1.38E+01,1.28E+01,1.31E+01,6.22E-01,6.22E-01,6.22E-01,6.22E-01,6.22E-01,6.22E-01,0.00E+00,0.00E+00,0.00E+00,1.36E+01
01-31-2027,1.30E+01,1.34E+01,1.39E+01,1.28E+01,1.32E+01,6.69E-01,6.69E-01,6.69E-01,6.69E-01,6.69E-01,6.69E-01,0.00E+00,0.00E+00,0.00E+00,1.37E+01
02-28-2027,1.30E+01,1.33E+01,1.38E+01,1.28E+01,1.32E+01,5.42E-01,5.42E-01,5.42E-01,5.42E-01,5.42E-01,5.42E-01,0.00E+00,0.00E+00,0.00E+00,1.36E+01
03-31-2027,1.31E+01,1.33E+01,1.38E+01,1.29E+01,1.32E+01,5.27E-01,5.27E-01,5.27E-01,5.27E-01,5.27E-01,5.27E-01,0.00E+00,0.00E+00,0.00E+00,1.36E+01
04-30-2027,1.31E+01,1.27E+01,1.32E+01,1.29E+01,1.33E+01,-1.21E-01,-1.21E-01,-1.21E-01,-1.21E-01,-1.21E-01,-1.21E-01,0.00E+00,0.00E+00,0.00E+00,1.30E+01
05-31-2027,1.31E+01,1.25E+01,1.31E+01,1.29E+01,1.33E+01,-3.08E-01,-3.08E-01,-3.08E-01,-3.08E-01,-3.08E-01,-3.08E-01,0.00E+00,0.00E+00,0.00E+00,1.28E+01
06-30-2027,1.31E+01,1.21E+01,1.27E+01,1.29E+01,1.33E+01,-7.13E-01,-7.13E-01,-7.13E-01,-7.13E-01,-7.13E-01,-7.13E-01,0.00E+00,0.00E+00,0.00E+00,1.24E+01
07-31-2027,1.32E+01,1.25E+01,1.31E+01,1.29E+01,1.34E+01,-4.03E-01,-4.03E-01,-4.03E-01,-4.03E-01,-4.03E-01,-4.03E-01,0.00E+00,0.00E+00,0.00E+00,1.28E+01
08-31-2027,1.32E+01,1.22E+01,1.28E+01,1.29E+01,1.34E+01,-6.88E-01,-6.88E-01,-6.88E-01,-6.88E-01,-6.88E-01,-6.88E-01,0.00E+00,0.00E+00,0.00E+00,1.25E+01
09-30-2027,1.32E+01,1.25E+01,1.31E+01,1.30E+01,1.35E+01,-3.83E-01,-3.83E-01,-3.83E-01,-3.83E-01,-3.83E-01,-3.83E-01,0.00E+00,0.00E+00,0.00E+00,1.28E+01
